date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:37:02	43489/43489	---M--	200	added ('OK')	image/jpeg	etag:%22f4a3893821f8aead352587d3c8c776b1%22	http://product.hstatic.net/1000383440/product/dscf0011_ba794a3299af4f6cb077a228b529ff99_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf0011_ba794a3299af4f6cb077a228b529ff99_large.jpg	(from https://bossgiay.vn/collections/sneaker)
23:37:02	294630/294630	---MCZ	200	added ('OK')	text/html	etag:W/%223a64abcd537e49a989c82d330ea57183%22	https://bossgiay.vn/products/nike-court-borough-low-2-white-pink-bq5448-124	E:/test_shoes_shop/bossgiay.vn/products/nike-court-borough-low-2-white-pink-bq5448-124.html	(from https://bossgiay.vn/collections/sneaker)
23:37:05	17444/17444	---M--	200	added ('OK')	image/jpeg	etag:%222ce4224027768e3789acf03ba2cd2acd%22	http://product.hstatic.net/1000383440/product/dscf9835_24e31cfe3a78444688e645eec26387cf_grande.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf9835_24e31cfe3a78444688e645eec26387cf_grande.jpg	(from https://bossgiay.vn/collections/sneaker)
23:37:07	23495/23495	---M--	200	added ('OK')	image/jpeg	etag:%229e8a6044b18d6bc3ec7b68abcacf2ff2%22	http://product.hstatic.net/1000383440/product/dscf9837_fe951c2e7ce04a2c8474daed466319ca_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf9837_fe951c2e7ce04a2c8474daed466319ca_large.jpg	(from https://bossgiay.vn/collections/sneaker)
23:37:09	303567/303567	---MCZ	200	added ('OK')	text/html	etag:W/%22ecf6ac74218940b99a803fd859609ce3%22	https://bossgiay.vn/products/mlb-chunky-runner-basic-new-york-yankees-gum-3ashcrb3n-50crs	E:/test_shoes_shop/bossgiay.vn/products/mlb-chunky-runner-basic-new-york-yankees-gum-3ashcrb3n-50crs.html	(from https://bossgiay.vn/collections/sneaker)
23:37:10	35538/35538	---M--	200	added ('OK')	image/jpeg	etag:%220e757147d3819a2b3184432df9eb2d40%22	http://product.hstatic.net/1000383440/product/dscf9837_fe951c2e7ce04a2c8474daed466319ca_grande.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf9837_fe951c2e7ce04a2c8474daed466319ca_grande.jpg	(from https://bossgiay.vn/collections/sneaker)
23:37:10	16482/16482	---M--	200	added ('OK')	image/jpeg	etag:%22af4fd8ce0c03d9e3e04ac39fc4364a77%22	http://product.hstatic.net/1000383440/product/ed1a1551-4bc1-48d3-a04b-a580791214cf_e77465248cb14d6581e1c6519d55c151_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/ed1a1551-4bc1-48d3-a04b-a580791214cf_e77465248cb14d6581e1c6519d55c151_large.jpg	(from https://bossgiay.vn/collections/sneaker)
23:37:13	23911/23911	---M--	200	added ('OK')	image/jpeg	etag:%222b2f4c55414fa00393459a7e9750041d%22	http://product.hstatic.net/1000383440/product/ed1a1551-4bc1-48d3-a04b-a580791214cf_e77465248cb14d6581e1c6519d55c151_grande.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/ed1a1551-4bc1-48d3-a04b-a580791214cf_e77465248cb14d6581e1c6519d55c151_grande.jpg	(from https://bossgiay.vn/collections/sneaker)
23:37:13	22215/22215	---M--	200	added ('OK')	image/jpeg	etag:%22636772d0613fe670ae70615efcb0128a%22	http://product.hstatic.net/1000383440/product/81b38adb-6125-4549-b014-1f8463e0577d_bde247c1562d405e8c68bb3b42c5ba26_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/81b38adb-6125-4549-b014-1f8463e0577d_bde247c1562d405e8c68bb3b42c5ba26_large.jpg	(from https://bossgiay.vn/collections/sneaker)
23:37:16	298087/298087	---MCZ	200	added ('OK')	text/html	etag:W/%22365630741045494d91005f3545621b28%22	https://bossgiay.vn/products/nike-court-royale-ac-white-black-bq4222-103	E:/test_shoes_shop/bossgiay.vn/products/nike-court-royale-ac-white-black-bq4222-103.html	(from https://bossgiay.vn/collections/sneaker)
23:37:17	33412/33412	---M--	200	added ('OK')	image/jpeg	etag:%22843b91b69b6b62d34486da60e3576e7e%22	http://product.hstatic.net/1000383440/product/81b38adb-6125-4549-b014-1f8463e0577d_bde247c1562d405e8c68bb3b42c5ba26_grande.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/81b38adb-6125-4549-b014-1f8463e0577d_bde247c1562d405e8c68bb3b42c5ba26_grande.jpg	(from https://bossgiay.vn/collections/sneaker)
23:37:18	13538/13538	---M--	200	added ('OK')	image/jpeg	etag:%221c6647fce7a4d08d2d2002f4bb8b7f2f%22	http://product.hstatic.net/1000383440/product/dscf9824_ceccca9d9dce422a918459506c6fbc03_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf9824_ceccca9d9dce422a918459506c6fbc03_large.jpg	(from https://bossgiay.vn/collections/sneaker)
23:37:23	42651/42651	---M--	200	added ('OK')	image/jpeg	etag:%221a7c01c0c02bd96c6c397df8e0313356%22	http://product.hstatic.net/1000383440/product/dscf9824_ceccca9d9dce422a918459506c6fbc03_grande.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf9824_ceccca9d9dce422a918459506c6fbc03_grande.jpg	(from https://bossgiay.vn/collections/sneaker)
23:37:28	297100/297100	---MCZ	200	added ('OK')	text/html	etag:W/%22e73abe5488dd417591f5a49aa46de568%22	https://bossgiay.vn/products/nike-court-legacy-lift-low-white-black-brown-dm7590-100	E:/test_shoes_shop/bossgiay.vn/products/nike-court-legacy-lift-low-white-black-brown-dm7590-100.html	(from https://bossgiay.vn/collections/sneaker)
23:37:30	12050/12050	---M--	200	added ('OK')	image/jpeg	etag:%2214a1c9bacad505a81f75d489fd1c01af%22	http://product.hstatic.net/1000383440/product/dscf9830_6827e574dc8c4b9b8320558d7d8ee111_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf9830_6827e574dc8c4b9b8320558d7d8ee111_large.jpg	(from https://bossgiay.vn/collections/sneaker)
23:37:32	274368/274368	---M--	200	added ('OK')	image/jpeg	etag:%22dcc86bdd812856bb0867c57265e75a1b%22	http://product.hstatic.net/1000383440/product/ce8cc946-41b1-41b9-b6a3-44fcf450849d_eb3a0f1c2e8d43df8349eed9215a4749_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/ce8cc946-41b1-41b9-b6a3-44fcf450849d_eb3a0f1c2e8d43df8349eed9215a4749_large.jpg	(from https://bossgiay.vn/collections/sneaker)
23:37:33	18380/18380	---M--	200	added ('OK')	image/jpeg	etag:%22ccc8c2c90025e80628da9ab29ee28de4%22	http://product.hstatic.net/1000383440/product/dscf9830_6827e574dc8c4b9b8320558d7d8ee111_grande.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf9830_6827e574dc8c4b9b8320558d7d8ee111_grande.jpg	(from https://bossgiay.vn/collections/sneaker)
23:37:56	296299/296299	---MCZ	200	added ('OK')	text/html	etag:W/%227c76df7ea3364603aa13bc9c8d27041c%22	https://bossgiay.vn/products/nike-court-borough-low-white-pink-dv5456-102	E:/test_shoes_shop/bossgiay.vn/products/nike-court-borough-low-white-pink-dv5456-102.html	(from https://bossgiay.vn/collections/sneaker)
23:37:58	12283/12283	---M--	200	added ('OK')	image/jpeg	etag:%226043d187fb9a08e89f2e3251d2b858ff%22	http://product.hstatic.net/1000383440/product/dscf9840_1b877f0e25c34dce93f55013fcd11fbd_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf9840_1b877f0e25c34dce93f55013fcd11fbd_large.jpg	(from https://bossgiay.vn/collections/sneaker)
23:38:01	371847/371847	---M--	200	added ('OK')	image/jpeg	etag:%22b54f2ab86c6e557ac8a3a1c3c0ada81c%22	http://product.hstatic.net/1000383440/product/cd025148-803b-42cc-a9b4-187fee90a03b_aafb92c299de4ad997b7c4159a83dcc5_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/cd025148-803b-42cc-a9b4-187fee90a03b_aafb92c299de4ad997b7c4159a83dcc5_large.jpg	(from https://bossgiay.vn/collections/sneaker)
23:38:01	18613/18613	---M--	200	added ('OK')	image/jpeg	etag:%225ca2ee892bbc57963f85d16552ec7c5d%22	http://product.hstatic.net/1000383440/product/dscf9840_1b877f0e25c34dce93f55013fcd11fbd_grande.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf9840_1b877f0e25c34dce93f55013fcd11fbd_grande.jpg	(from https://bossgiay.vn/collections/sneaker)
23:38:02	60902/60902	---M--	200	added ('OK')	image/jpeg	etag:%22d2b873deda81cba88bde4bbde6c0843c%22	http://product.hstatic.net/1000383440/product/9dac1d29-c79f-4e91-a369-a13e3758a45b_d75193f148474707a90e190b12a6cb09_grande.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/9dac1d29-c79f-4e91-a369-a13e3758a45b_d75193f148474707a90e190b12a6cb09_grande.jpg	(from https://bossgiay.vn/collections/sneaker)
